"RECCO","HNO_FR","REFER1","HA22_G","POWER","POOR_LOCAL","HR_DEL","X_HR","Z_MAD","P80","GATE_REASON","N_G_IN_ROUND","N_ROUND"
"2839","3",17,"1",-0.8,0,0,4.5,0.0742558634286162,11,"",5,29
"5013","1",3,"1",9.5,0,0,9.35,0.596288932290903,9.75,"",5,29
"2896","6",2,"1",-1.3,0,0,4.6,-0.501050278468328,11.3,"",5,29
"1772","1",9,"1",3,0,0,6.3,0,9.75,"",5,29
"5398","3",1,"1",-5,0,0,4.1,-0.0247519544762052,11,"",5,29
"3491","3",17,"1",8.7,0,0,4.5,0.0742558634286162,11,"",5,29
"1654","3",17,"1",-2.3,0,0,4.5,0.0742558634286162,11,"",5,29
"631","5",23,"1",1.3,1,1,9.3,1.01891157282635,8.18,"P80",5,29
"3653","7",1,"1",3.9,1,1,15.2,2.15318203986759,10.55,"P80",5,29
"3077","2",2,"1",0.8,1,1,4.2,0.475602458605291,3.88,"P80",5,29
"2648","1",12,"1",-5.5,0,0,1.55,-0.928646697830095,9.75,"",5,29
"5862","2",2,"1",12.4,1,1,4.2,0.475602458605291,3.88,"P80",5,29
"2794","1",12,"1",-8.8,0,0,1.55,-0.928646697830095,9.75,"",5,29
"5590","6",1,"1",-5.2,0,0,2.5,-1.0406428860496,11.3,"",5,29
"3613","3",19,"1",1.6,0,0,1.6,-0.643550816381338,11,"",5,29
"3646","4",3,"1",-0.1,0,0,3,-0.172544147773082,11.35,"",5,29
"4466","5",3,"1",5.2,0,0,3.7,-0.588385556139158,8.18,"",5,29
"1325","7",21,"1",17,0,0,5.3,-0.415071236600982,10.55,"",5,29
"908","7",21,"1",16.4,0,0,5.3,-0.415071236600982,10.55,"",5,29
"3654","2",2,"1",2.5,1,1,4.2,0.475602458605291,3.88,"P80",5,29
"6532","3",26,"1",8.5,1,1,12.9,2.15342003942986,11,"P80",5,29
"1711","3",21,"1",-10.7,0,0,1.55,-0.655926793619441,11,"",5,29
"1098","5",20,"1",-1.7,0,0,3.45,-0.660139892253689,8.18,"",5,29
"2958","1",13,"1",8.3,0,0,2.1,-0.821119185449768,9.75,"",5,29
"3900","2",1,"1",0.2,0,0,-0.6,-1.18468248779864,3.88,"",5,29
"4556","2",2,"1",5.9,1,1,4.2,0.475602458605291,3.88,"P80",5,29
"592","5",28,"1",-5.1,0,0,1.4,-1.24852544839285,8.18,"",5,29
"5852","5",6,"1",1.8,0,0,5.8,0.0143508672229062,8.18,"",5,29
"5256","2",1,"1",-9.8,0,0,-0.6,-1.18468248779864,3.88,"",5,29
"2838","3",18,"1",0.5,0,0,5.6,0.346527362666875,11,"",5,29
"90","5",28,"1",-8.9,0,0,1.4,-1.24852544839285,8.18,"",5,29
"322","7",19,"1",2.4,0,0,5.95,-0.246448546731833,10.55,"",5,29
"3917","7",5,"1",-8.2,0,0,4.6,-0.596664902613911,10.55,"",5,29
"294","5",28,"1",-4.8,0,0,1.4,-1.24852544839285,8.18,"",5,29
"2571","4",5,"1",2.9,0,0,11.35,0.875269404158,11.35,"",5,29
