refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
1,"25082306","",3,81.82,3,"정상해돋이",2.4,"25071207","25   07   12   07",5,63.64,"스터닝퀸",5.9,27815,17843,"24 08 18  05","1200",4,"8","스터닝퀸","빅투아르",1,15.5,1.2,4.0,72.73,"4","4",0.50,1,0,"24081805","스터닝퀸",4.00,-1.50,"원평광야",0,0,0,0,9972,1629
1,"25082306","",11,9.09,9,"럭키하눌",13.1,"25071207","25   07   12   07",5,63.64,"스터닝퀸",5.9,27823,17843,"24 08 18  05","1200",4,"8","스터닝퀸","빅투아르",1,15.5,1.2,4.0,72.73,"4","4",11.20,3,0,"24081805","스터닝퀸",4.00,9.20,"원평광야",0,0,0,0,9980,1630
7,"25082306","",1,100.0,2,"마이티아미",0.0,"24110306","24   11   03   06",6,44.44,"해제여걸",7.6,20132,17845,"24 08 18  05","1200",6,"6","해제여걸","이철경",1,16.1,1.2,8.4,54.55,"4","4",0.80,4,0,"24081805","스터닝퀸",8.40,-1.20,"원평광야",0,0,0,0,2287,1631
2,"25082306","",5,63.64,7,"굿최강",4.2,"25042607","25   04   26   07",10,18.18,"오섬브레인",11.0,25553,17850,"24 08 18  05","1200",11,"3","오섬브레인","이동하",1,17.4,1.8,16.2,9.09,"4","6",9.40,6,0,"24081805","스터닝퀸",16.20,9.40,"원평광야",0,0,0,0,7703,1632
1,"25082306","",4,72.73,8,"소울비트",3.6,"25042607","25   04   26   07",10,18.18,"오섬브레인",11.0,25552,17850,"24 08 18  05","1200",11,"3","오섬브레인","이동하",1,17.4,1.8,16.2,9.09,"4","6",8.80,7,0,"24081805","스터닝퀸",16.20,8.80,"원평광야",0,0,0,0,7702,1633
2,"25082306","",3,81.82,6,"창창삭스",3.0,"25042607","25   04   26   07",10,18.18,"오섬브레인",11.0,25551,17850,"24 08 18  05","1200",11,"3","오섬브레인","이동하",1,17.4,1.8,16.2,9.09,"4","6",8.20,8,0,"24081805","스터닝퀸",16.20,8.20,"원평광야",0,0,0,0,7701,1634
9,"25082306","",6,50.00,1,"은빛돌풍",6.0,"24101310","24   10   13   10",9,20.00,"라온더탑",10.2,19508,17857,"24 08 18  06","1200",7,"6","라온더탑","문세영",1,15.2,6.0,17.6,45.45,"5","6",13.40,1,0,"24081806","라온더탑",17.60,13.40,"달빛조각사",0,0,0,0,1651,1635
3,"25082306","",7,40.00,5,"드림릿지",18.0,"24092908","24   09   29   08",6,50.00,"티나케이",6.7,19012,17863,"24 08 18  07","1600",2,"2","티나케이","박태종",1,42.2,6.6,6.6,90.00,"6","5",17.90,2,0,"24081807","티나케이",6.60,17.90,"원평퀸",0,0,0,0,1149,1636
3,"25082306","",10,10.00,7,"굿최강",10.7,"25020808","25   02   08   08",6,50.00,"티나케이",7.3,23029,17863,"24 08 18  07","1600",2,"2","티나케이","박태종",1,42.2,6.6,6.6,90.00,"5","5",10.00,3,0,"24081807","티나케이",6.60,10.00,"원평퀸",0,0,0,0,5166,1637
4,"25082306","",8,36.36,3,"정상해돋이",21.9,"25040606","25   04   06   06",5,63.64,"티나케이",13.5,24974,17863,"24 08 18  07","1600",2,"2","티나케이","박태종",1,42.2,6.6,6.6,90.00,"4","5",15.00,4,0,"24081807","티나케이",6.60,15.00,"원평퀸",0,0,0,0,7111,1638
3,"25082306","",10,10.00,7,"굿최강",10.7,"25020808","25   02   08   08",7,40.00,"아치메모리",6.5,23029,17864,"24 08 18  07","1600",3,"7","아치메모리","정우주",1,42.6,2.4,7.8,80.00,"4","5",12.00,5,0,"24081807","티나케이",7.80,12.00,"원평퀸",0,0,0,0,5165,1639
16,"25082306","",8,30.00,1,"은빛돌풍",21.3,"24012109","24   01   21   09",4,70.00,"퀸오브베스트",7.8,11655,17869,"24 08 18  07","1600",8,"10","퀸오브베스트","임기원",1,43.6,4.2,12.1,30.00,"3","4",25.60,7,0,"24081807","티나케이",12.10,23.60,"원평퀸",0,0,0,0,-6214,1640
16,"25082306","",8,30.00,1,"은빛돌풍",21.3,"24012109","24   01   21   09",5,60.00,"바이킹하트",9.9,11655,17885,"24 08 18  09","1800",3,"3","바이킹하트","박을운",1,56.9,1.8,4.4,81.82,"2","4",15.80,1,0,"24081809","바이킹하트",4.40,13.80,"아메리카골드",0,0,0,0,-6230,1641
8,"25082306","",2,90.00,4,"간다고",2.9,"24111702","24   11   17   02",3,80.00,"한강패션드",7.9,20516,17917,"24 08 24  02","1200",4,"3","한강패션드","문세영",1,16.6,1.8,4.2,72.73,"5","6",-0.80,2,0,"24082402","굿파이터",4.20,-0.80,"굿파이터",0,0,0,0,2599,1642
12,"25082306","",4,72.73,4,"간다고",7.5,"24072101","24   07   21   01",6,54.55,"유테이크",12.9,17108,17921,"24 08 24  02","1200",8,"10","유테이크","문정균",1,18.7,3.0,16.3,36.36,"6","6",10.90,3,0,"24082402","굿파이터",16.30,10.90,"굿파이터",0,0,0,0,-813,1643
2,"25082306","",7,45.45,9,"럭키하눌",9.8,"25062808","25   06   28   08",6,54.55,"미스터파워",7.4,27427,17927,"24 08 24  03","1300",3,"1","미스터파워","문세영",1,23.2,0.6,2.0,81.82,"4","6",4.40,1,0,"24082403","미스터파워",2.00,4.40,"큐피드미르",0,0,0,0,9500,1644
8,"25082306","",2,90.00,4,"간다고",2.9,"24111702","24   11   17   02",5,60.00,"아메노",13.1,20516,17932,"24 08 24  03","1300",8,"6","아메노","박태종",1,24.2,0.2,7.4,36.36,"5","6",-2.80,3,0,"24082403","미스터파워",7.40,-2.80,"큐피드미르",0,0,0,0,2584,1645
2,"25082306","",8,12.50,4,"간다고",15.6,"25062904","25   06   29   04",6,37.50,"아치러너",15.6,27481,17942,"24 08 24  04","1300",7,"10","아치러너","오수철",1,23.9,0.2,7.1,40.00,"5","6",7.10,2,0,"24082404","호명퀸",7.10,7.10,"호명퀸",0,0,0,0,9539,1646
5,"25082306","",3,81.82,4,"간다고",8.4,"25022205","25   02   22   05",7,45.45,"아치러너",12.4,23473,17942,"24 08 24  04","1300",7,"10","아치러너","오수철",1,23.9,0.2,7.1,40.00,"3","6",3.10,3,0,"24082404","호명퀸",7.10,3.10,"호명퀸",0,0,0,0,5531,1647
