refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
16,"25060705","",1,100.0,5,"아치메모리",2.5,"24030905","24   03   09   05",7,25.00,"파워에치드",16.0,12958,6773,"23 08 20  03","1400",7,"9","파워에치드","김아현",1,32.3,1.2,18.8,45.45,"5","1",5.30,15,99,"23082003","제타마스터",18.80,-1.70,"제타마스터",0,0,0,0,6185,990
23,"25060705","",5,55.56,7,"시크릿왕자",14.4,"23021103","23   02   11   03",9,11.11,"파워에치드",22.4,1060,6773,"23 08 20  03","1400",7,"9","파워에치드","김아현",1,32.3,1.2,18.8,45.45,"3","1",10.80,16,99,"23082003","제타마스터",18.80,3.80,"제타마스터",0,0,0,0,-5713,991
23,"25060705","",2,87.50,3,"파워에치드",2.1,"23090206","23   09   02   06",4,62.50,"상임대표",9.2,7120,6775,"23 08 20  03","1400",9,"3","상임대표","김태희",1,32.7,0.2,20.6,27.27,"6","1",13.50,18,99,"23082003","제타마스터",20.60,6.50,"제타마스터",0,0,0,0,345,992
28,"25060705","",4,75.00,5,"아치메모리",4.2,"23022609","23   02   26   09",9,33.33,"런던에이스",11.3,1735,6782,"23 08 20  04","1300",5,"8","런던에이스","빅투아르",1,22.5,1.2,3.2,63.64,"5","1",-3.90,3,0,"23082004","런던에이스",3.20,-10.9,"강풍마",0,0,0,0,-5047,993
22,"25060705","",4,66.67,5,"아치메모리",3.5,"23092405","23   09   24   05",8,22.22,"콰이어트참",13.3,7871,6784,"23 08 20  04","1300",7,"11","콰이어트참","푸르칸",1,22.9,1.2,6.1,45.45,"4","6",-3.70,5,0,"23082004","런던에이스",6.10,-3.70,"강풍마",0,0,0,0,1087,994
19,"25060705","",6,54.55,5,"아치메모리",6.7,"23123005","23   12   30   05",11,9.09,"콰이어트참",14.1,10855,6784,"23 08 20  04","1300",7,"11","콰이어트참","푸르칸",1,22.9,1.2,6.1,45.45,"3","6",-1.30,6,0,"23082004","런던에이스",6.10,-1.30,"강풍마",0,0,0,0,4071,995
27,"25060705","",2,91.67,5,"아치메모리",6.3,"23032605","23   03   26   05",3,83.33,"브이퀸",7.0,2582,6792,"23 08 20  05","1200",4,"6","브이퀸","김효정",1,16.2,0.6,5.0,70.00,"6","6",4.30,3,0,"23082005","퍼플윙크",5.00,4.30,"쏘아라투투",0,0,0,0,-4210,996
13,"25060705","",4,72.73,7,"시크릿왕자",7.4,"23112510","23   11   25   10",5,63.64,"록파이터",6.2,9724,6805,"23 08 20  06","1600",7,"4","록파이터","이현종",1,43.6,0.6,8.1,40.00,"5","6",9.30,2,0,"23082006","미스윈스타",8.10,9.30,"해피삭스",0,0,0,0,2919,997
12,"25060705","",7,25.00,6,"스카이함성",10.2,"24042108","24   04   21   08",6,37.50,"로열함성",7.8,14486,6815,"23 08 20  07","1700",7,"6","로열함성","장추열",1,53.0,1.2,11.9,45.45,"3","6",14.30,7,0,"23082007","글로벌럭키",11.90,14.30,"금세다",0,0,0,0,7671,998
16,"25060705","",7,50.00,3,"파워에치드",8.7,"24021806","24   02   18   06",8,41.67,"천은총",11.7,12355,6819,"23 08 20  07","1700",11,"1","천은총","하정훈",1,54.6,4.8,22.2,9.09,"O","6",19.20,10,0,"23082007","글로벌럭키",22.20,19.20,"금세다",0,0,0,0,5536,999
12,"25060705","",2,90.00,1,"백룡",3.0,"24042004","24   04   20   04",6,50.00,"걸작선",8.2,14320,6836,"23 08 20  09","1200",7,"1","걸작선","김태희",1,16.3,1.8,12.2,40.00,"4","5",7.00,3,0,"23082009","나올영웅",12.20,7.00,"한강보스",0,0,0,0,7484,1000
13,"25060705","",4,72.73,7,"시크릿왕자",7.4,"23112510","23   11   25   10",9,27.27,"경부도령",16.2,9724,6837,"23 08 20  09","1200",8,"9","경부도령","김철호",1,17.0,4.2,16.4,30.00,"5","5",7.60,4,0,"23082009","나올영웅",16.40,7.60,"한강보스",0,0,0,0,2887,1001
21,"25060705","",10,18.18,1,"백룡",17.6,"23061701","23   06   17   01",7,45.45,"슈퍼원",6.7,4914,6853,"23 08 26  01","1000",5,"5","슈퍼원","정정희",1,3.4,1.2,11.4,63.64,"5","5",22.30,1,0,"23082601","슈퍼원",11.40,22.30,"세광파이터",0,0,0,0,-1939,1002
18,"25060705","",10,18.18,1,"백룡",17.1,"23102902","23   10   29   02",6,54.55,"슈퍼원",7.5,8844,6853,"23 08 26  01","1000",5,"5","슈퍼원","정정희",1,3.4,1.2,11.4,63.64,"6","5",21.00,2,0,"23082601","슈퍼원",11.40,21.00,"세광파이터",0,0,0,0,1991,1003
12,"25060705","",7,25.00,6,"스카이함성",10.2,"24042108","24   04   21   08",4,62.50,"럭키파티",3.0,14486,6862,"23 08 26  02","1000",3,"8","럭키파티","안토니오",1,2.1,1.8,0.3,83.33,"4","5",7.50,1,0,"23082602","럭키파티",0.30,7.50,"라온더탑",0,0,0,0,7624,1004
8,"25060705","",5,60.00,2,"런던빅토리",6.7,"23091701","23   09   17   01",6,50.00,"일링크스",8.1,7586,6865,"23 08 26  02","1000",6,"11","일링크스","김동수",1,3.0,0.6,7.2,58.33,"6","5",5.80,2,0,"23082602","럭키파티",7.20,5.80,"라온더탑",0,0,0,0,721,1005
7,"25060705","",3,80.00,2,"런던빅토리",10.2,"23111201","23   11   12   01",5,60.00,"학산대세",13.2,9266,6869,"23 08 26  02","1000",10,"9","학산대세","박을운",1,3.3,0.2,8.6,25.00,"6","4",5.60,4,0,"23082602","럭키파티",8.60,3.60,"라온더탑",0,0,0,0,2397,1006
